Vehículo;Etiqueta;Matrícula;Tipo Vehículo;Tipo Servicio;Nivel Emisión ;Marca;Accesible;Operador;Modelo;Zona;Concesión;Calificación ;(Columna M agregada con propósitos meramente pedagógicos)
7748;E0748;WMK149;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,81;
7749;E0749;WMK150;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,73;
7750;E0750;WMK151;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,29;
7751;E0751;WMK152;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,13;
7752;E0752;WMK153;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,57;
7753;E0753;WMK154;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,78;
7754;E0754;WGK149;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,95;
7755;E0755;WEW892;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,24;
10500;D0500;WEW522;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,61;
10501;D0501;WEW583;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,70;
10502;D0502;WEW530;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,00;
10503;D0503;WGH669;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,00;
10504;D0504;WGH672;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,06;
